2024-03-20 00:00:01.2922|0|INFO|SignalR.Redis.Hubs.ChatHub|Message Sent to all users |url: http://localhost/chatHub|action: 
2024-03-20 00:00:03.1462|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:00:03.1462|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:00:03.3850|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:00:04.1161|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:00:04.1161|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:00:04.2587|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:00:05.0405|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:00:05.0405|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:00:05.1932|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:00:05.6802|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:00:05.6802|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:00:05.8740|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:02:28.1316|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:02:28.1316|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:02:28.4257|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:02:33.5947|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:02:33.5947|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:02:33.8939|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:02:45.3124|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:02:45.3124|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:02:45.5888|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:02:48.0736|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:02:48.0736|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:02:48.2733|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:02:49.7816|0|INFO|SignalR.Redis.Hubs.ChatHub|Message Sent to all users |url: http://localhost/chatHub|action: 
2024-03-20 00:03:41.7092|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:03:41.7092|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:03:42.0108|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:03:45.1189|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:03:45.1189|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:03:45.3143|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:03:45.8979|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:03:45.8979|0|INFO|SignalR.Redis.Controllers.HomeController|Hello, this is the Chat page! |url: http://localhost/Home/Chats|action: Chats
2024-03-20 00:03:46.1002|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/GetChatMessages|action: GetChatMessages
2024-03-20 00:03:47.6047|1|DEBUG|SignalR.Redis.Controllers.HomeController|NLog injected into HomeController |url: http://localhost/Home/Chats|action: Chats
